id_candidato,texto_cv,puesto_solicitado,años_experiencia,universidad_origen,decision_historica
1,"Experto en Python, SQL y Spark. Desarrollo de ETLs complejas y pipelines de datos con Airflow. Experiencia en AWS (S3, Redshift) y modelado de datos dimensional.",Data Engineer,5,Universidad Politécnica de Élite,Aceptado
2,"Sólidos conocimientos de Python para análisis de datos (Pandas, NumPy) y SQL. He completado varios proyectos de ETL y dashboards en Power BI. Formación intensiva en cloud.",Data Engineer,2,Bootcamp Online,Rechazado
3,"Desarrollo de modelos de Machine Learning con Scikit-learn y TensorFlow. Experiencia en MLOps, usando Docker y Kubernetes para el despliegue de modelos. Fuerte base matemática.",ML Engineer,4,Universidad Politécnica de Élite,Aceptado
4,"Graduado con conocimientos en Python, SQL y algoritmos de Machine Learning. Proyecto final de carrera sobre sistemas de recomendación. Busco mi primera oportunidad.",Data Scientist,0,Universidad Regional,Rechazado
5,"Científico de datos con experiencia en modelos de clasificación y regresión. Uso diario de Python, R y SQL. Creación de visualizaciones interactivas con Tableau para comunicar resultados.",Data Scientist,3,Universidad Regional,Aceptado
6,"Creación y mantenimiento de la infraestructura de datos de la empresa. Optimización de consultas en SQL y automatización de flujos de trabajo con Airflow. Experiencia en GCP.",Data Engineer,6,Universidad Politécnica de Élite,Aceptado
7,"Apasionado del Deep Learning, con experiencia en Keras y PyTorch. Proyectos personales con Computer Vision (CNNs). Finalicé un bootcamp muy completo sobre IA.",ML Engineer,1,Bootcamp Online,Rechazado
8,"Análisis exploratorio de datos, A/B testing y modelado predictivo. Experiencia en el sector retail para optimizar inventarios. Manejo de Python, SQL y Power BI.",Data Scientist,4,Universidad Regional,Rechazado
9,"Especialista en MLOps. Diseño e implementación de pipelines de CI/CD para modelos de Machine Learning. Uso de Jenkins, Docker y Azure ML.",ML Engineer,5,Universidad Politécnica de Élite,Aceptado
10,"Data Engineer con foco en streaming de datos usando Kafka y Spark Streaming. Construcción de Data Lakes en Azure (ADLS Gen2).",Data Engineer,4,Universidad Regional,Aceptado
11,"Finalicé un bootcamp de 9 meses en Data Science. Fuerte en SQL, Python y Machine Learning. Portfolio de 5 proyectos en GitHub. Alta capacidad de aprendizaje.",Data Scientist,0,Bootcamp Online,Rechazado
12,"Líder técnico en proyectos de Machine Learning. Diseño de arquitecturas de modelos escalables en AWS SageMaker. Mentor de otros ingenieros.",ML Engineer,8,Universidad Politécnica de Élite,Aceptado
13,"Experiencia construyendo dashboards y reportes para el equipo directivo. Extracción de datos con SQL y automatización de reportes con Python. Fuerte conocimiento de negocio.",Data Analyst,3,Universidad Regional,Aceptado
14,"Ingeniero de datos junior. Soporte en la ingesta de datos y mantenimiento de ETLs existentes. Conocimientos de Python, SQL y scripts de shell.",Data Engineer,1,Universidad Regional,Rechazado
15,"Desarrollo de modelos predictivos de fuga de clientes (churn). Uso de técnicas como Regresión Logística y XGBoost. Presentación de resultados a stakeholders no técnicos.",Data Scientist,2,Bootcamp Online,Aceptado
16,"Arquitecto de soluciones de datos en la nube (Azure). Diseño de Data Warehouses modernos y plataformas de Big Data. Experto en Databricks y Synapse Analytics.",Data Engineer,10,Universidad Politécnica de Élite,Aceptado
17,"Investigación y desarrollo de nuevos algoritmos de NLP para análisis de sentimiento. Publicaciones en conferencias. Experiencia con Transformers y BERT.",ML Engineer,3,Universidad Politécnica de Élite,Aceptado
18,"Análisis de datos de marketing digital para optimizar campañas. Manejo de Google Analytics, SQL y Tableau. Conocimiento de modelos de atribución.",Data Scientist,2,Universidad Regional,Rechazado
19,"Transición de carrera hacia Data Engineering. Completé bootcamp especializado en Big Data (Hadoop, Spark). Busco una oportunidad para aplicar mis nuevas habilidades.",Data Engineer,0,Bootcamp Online,Rechazado
20,"Foco en la calidad y gobernanza del dato. Implementación de catálogos de datos y políticas de calidad. Experiencia con Python y SQL para data profiling.",Data Engineer,4,Universidad Regional,Aceptado
21,"Especialista en integración de datos con experiencia en Talend y Pentaho. Optimización de procesos ETL y migración de bases de datos a la nube. Experiencia en AWS y Azure.",Data Engineer,7,Universidad Nacional,Aceptado
22,"Desarrollo de modelos de clasificación y clustering. Experiencia en Python, R y visualización con Power BI. Participación en proyectos de predicción de ventas.",Data Scientist,3,Universidad Regional,Rechazado
23,"Implementación de pipelines de datos en GCP. Automatización de reportes y análisis de datos con SQL y Python. Certificación en Google Cloud Data Engineer.",Data Engineer,2,Bootcamp Online,Rechazado
24,"Desarrollo de modelos de NLP para análisis de texto. Experiencia en spaCy y Transformers. Publicaciones en revistas científicas.",ML Engineer,5,Universidad Politécnica de Élite,Aceptado
25,"Científico de datos junior con experiencia en análisis exploratorio y visualización de datos. Proyectos académicos en predicción de churn.",Data Scientist,1,Universidad Regional,Rechazado
26,"Ingeniero de datos con experiencia en Snowflake y Azure Data Factory. Diseño de arquitecturas escalables para Big Data.",Data Engineer,6,Universidad Nacional,Aceptado
27,"Desarrollo de dashboards interactivos con Tableau y Power BI. Extracción y limpieza de datos con SQL y Python.",Data Analyst,2,Universidad Regional,Rechazado
28,"Optimización de modelos de Machine Learning para producción. Experiencia en MLOps, Docker y CI/CD.",ML Engineer,4,Universidad Politécnica de Élite,Aceptado
29,"Implementación de soluciones de Data Lake en AWS S3 y Glue. Automatización de flujos de datos con Airflow.",Data Engineer,5,Universidad Politécnica de Élite,Aceptado
